iter	RMSE
0	515827.7884
1	473610.6063
2	434485.2132
3	399146.3575
4	367534.7247
5	341146.9064
6	316386.8997
7	294127.5254
8	274466.0953
9	258184.1013
10	242978.9962
11	228239.2219
12	215898.5285
13	204798.3277
14	195042.1774
15	186967.7463
16	179400.1572
17	171482.4619
18	165537.2282
19	160675.9926
20	154922.1538
21	151164.8266
22	148000.8722
23	144547.8347
24	141062.3406
25	138034.2768
26	135844.0684
27	132856.2059
28	131414.262
29	129651.3741
30	128189.0582
31	126676.9257
32	125554.9012
33	122929.8811
34	121950.3059
35	120941.0695
36	120070.8927
37	119186.9109
38	118111.4349
39	117428.4784
40	116769.1453
41	116196.8293
42	115325.6202
43	114847.4691
44	113517.0547
45	112897.1136
46	112395.4384
47	111473.0452
48	110980.4706
49	110070.9554
50	109684.4946
51	108562.5494
52	107267.9203
53	106568.5025
54	106086.3667
55	104996.2527
56	104002.1569
57	103668.7477
58	103219.354
59	102649.4337
60	102252.1373
61	101606.8126
62	101140.9101
63	100700.1009
64	100225.3984
65	99837.42665
66	99440.55968
67	98866.22194
68	98344.09402
69	97974.49803
70	97138.03569
71	96787.3032
72	96380.11907
73	96084.57672
74	95655.81043
75	95331.90334
76	95122.36882
77	94855.94621
78	94660.04572
79	94080.33836
80	93661.21859
81	93294.87435
82	93086.68858
83	92741.97478
84	92228.905
85	91923.67049
86	91673.03464
87	90758.32263
88	90478.90467
89	89972.98043
90	89538.41142
91	89164.24101
92	88929.40628
93	88779.7638
94	88415.18178
95	88117.82544
96	87768.49142
97	87532.02976
98	87373.92293
99	86839.18703
100	86478.53836
101	86207.95186
102	86006.51115
103	85646.73679
104	85220.87225
105	84944.55613
106	84395.679
107	84105.15629
108	83951.22193
109	83610.35315
110	83344.70896
111	83093.93233
112	82979.96873
113	82670.65391
114	82425.27102
115	82171.85068
116	82061.47935
117	81842.81177
118	81564.70001
119	81281.24177
120	81085.1283
121	80939.49358
122	80725.30366
123	80598.0291
124	80369.41881
125	80174.69993
126	79925.16844
127	79641.18366
128	79469.68543
129	79253.97962
130	79123.9641
131	78952.62528
132	78794.27477
133	78550.11109
134	78323.44232
135	78204.2087
136	78006.49021
137	77632.68845
138	77432.73885
139	77144.74687
140	76851.26046
141	76644.02114
142	76509.23917
143	76290.48256
144	76063.21714
145	75902.26689
146	75769.1715
147	75599.06182
148	75347.18659
149	75239.06417
150	75096.67023
151	74911.90915
152	74771.12027
153	74463.65762
154	74165.83968
155	74001.4446
156	73864.24096
157	73483.506
158	73321.46351
159	73117.73976
160	72791.95892
161	72646.33813
162	72482.1784
163	72160.78618
164	71982.15304
165	71714.44344
166	71470.11911
167	71253.68379
168	71062.7806
169	70950.68234
170	70815.35459
171	70666.59343
172	70509.34043
173	70275.16941
174	70099.58418
175	69919.20888
176	69783.34579
177	69636.04413
178	69481.93775
179	69347.84609
180	69235.8032
181	69009.7273
182	68920.51064
183	68820.75149
184	68659.95225
185	68541.77559
186	68360.46039
187	68245.9619
188	68160.60015
189	68070.54605
190	67928.25719
191	67810.59806
192	67661.14574
193	67516.62446
194	67458.43801
195	67279.4999
196	67170.05412
197	67032.64872
198	66892.97877
199	66759.04906
200	66635.86337
201	66492.94886
202	66327.12542
203	66181.72286
204	66039.06468
205	65794.14065
206	65628.24157
207	65409.85089
208	65304.72208
209	65217.10964
210	65090.17048
211	65008.45401
212	64918.44476
213	64808.20924
214	64711.0172
215	64609.79823
216	64480.24514
217	64383.22939
218	64259.04815
219	64097.53595
220	63964.81182
221	63857.96245
222	63674.36667
223	63587.89093
224	63481.72134
225	63364.40099
226	63272.71417
227	63162.03505
228	63024.21307
229	62910.01441
230	62817.45509
231	62697.59147
232	62604.73965
233	62518.25097
234	62359.93143
235	62217.44006
236	62084.43608
237	61994.24221
238	61938.40003
239	61778.92919
240	61703.45121
241	61621.62436
242	61498.16077
243	61335.257
244	61257.04401
245	61191.36665
246	61111.45147
247	60983.48028
248	60880.75088
249	60759.79505
250	60566.78459
251	60437.42744
252	60305.61617
253	60230.22855
254	60111.16609
255	60016.54103
256	59888.54742
257	59793.21523
258	59704.69687
259	59519.34621
260	59473.43053
261	59252.53296
262	59168.16802
263	59039.50502
264	58903.33904
265	58752.42909
266	58439.71586
267	58334.17219
268	58241.86395
269	58163.02264
270	58072.26887
271	57960.51561
272	57855.97021
273	57784.69443
274	57689.3538
275	57607.85442
276	57500.19928
277	57421.69004
278	57317.87722
279	57270.13067
280	57141.30643
281	57038.76568
282	56965.99091
283	56880.63238
284	56801.58263
285	56683.61027
286	56584.7333
287	56485.29395
288	56375.13207
289	56122.40862
290	55929.28782
291	55820.56944
292	55643.60413
293	55567.71493
294	55391.02713
295	55336.00891
296	55175.58984
297	55097.80309
298	55020.21623
299	54956.96259
