iter	Passed	Remaining
0	59	17934
1	64	9626
2	68	6829
3	73	5412
4	77	4568
5	81	3997
6	85	3587
7	89	3260
8	93	3012
9	96	2807
10	100	2645
11	104	2506
12	108	2390
13	112	2297
14	116	2209
15	119	2127
16	123	2058
17	127	1999
18	131	1942
19	135	1892
20	139	1854
21	143	1815
22	147	1779
23	151	1740
24	155	1705
25	158	1673
26	162	1642
27	166	1613
28	170	1590
29	174	1566
30	177	1544
31	181	1521
32	185	1498
33	188	1478
34	192	1457
35	196	1439
36	200	1425
37	204	1410
38	208	1392
39	212	1378
40	216	1367
41	220	1351
42	224	1340
43	228	1326
44	231	1313
45	236	1303
46	240	1292
47	244	1284
48	248	1274
49	252	1263
50	256	1253
51	260	1243
52	264	1232
53	268	1224
54	272	1214
55	276	1206
56	281	1198
57	285	1191
58	290	1185
59	294	1176
60	298	1169
61	302	1162
62	306	1153
63	310	1146
64	315	1139
65	319	1131
66	323	1123
67	327	1117
68	331	1109
69	335	1102
70	339	1095
71	343	1086
72	347	1080
73	351	1073
74	355	1066
75	359	1059
76	363	1051
77	366	1044
78	370	1037
79	374	1030
80	378	1022
81	382	1016
82	385	1009
83	389	1002
84	393	994
85	397	988
86	401	982
87	405	976
88	408	969
89	412	962
90	416	955
91	419	948
92	423	942
93	427	936
94	431	930
95	434	923
96	438	918
97	442	911
98	445	905
99	449	899
100	453	894
101	457	887
102	460	881
103	464	875
104	468	869
105	471	863
106	475	857
107	478	851
108	483	846
109	487	841
110	491	837
111	495	832
112	499	827
113	503	822
114	507	816
115	511	811
116	515	806
117	519	801
118	523	796
119	527	791
120	531	786
121	536	782
122	540	777
123	544	773
124	549	768
125	553	764
126	558	760
127	562	755
128	565	750
129	570	746
130	575	742
131	579	737
132	584	733
133	590	731
134	595	728
135	599	723
136	604	719
137	609	715
138	613	711
139	618	706
140	623	702
141	627	698
142	631	693
143	635	688
144	640	684
145	645	680
146	649	675
147	654	671
148	658	667
149	662	662
150	666	657
151	670	653
152	675	648
153	680	645
154	684	640
155	690	637
156	694	632
157	698	628
158	703	624
159	708	619
160	712	615
161	716	610
162	722	607
163	726	602
164	731	598
165	736	594
166	740	589
167	744	585
168	749	580
169	753	576
170	757	571
171	761	566
172	765	561
173	768	556
174	773	552
175	777	547
176	781	542
177	785	538
178	790	534
179	795	530
180	799	525
181	803	520
182	807	516
183	811	511
184	815	506
185	819	502
186	823	497
187	827	493
188	831	488
189	836	484
190	839	479
191	844	474
192	848	470
193	852	465
194	856	461
195	859	456
196	864	451
197	868	447
198	872	442
199	876	438
200	881	433
201	885	429
202	889	424
203	893	420
204	897	415
205	901	411
206	905	406
207	910	402
208	914	398
209	918	393
210	922	388
211	927	384
212	931	380
213	935	376
214	940	371
215	944	367
216	948	362
217	953	358
218	958	354
219	962	349
220	966	345
221	970	340
222	974	336
223	978	331
224	982	327
225	986	323
226	991	318
227	995	314
228	999	309
229	1003	305
230	1008	301
231	1012	296
232	1016	292
233	1020	287
234	1024	283
235	1027	278
236	1032	274
237	1036	270
238	1040	265
239	1044	261
240	1049	256
241	1053	252
242	1057	248
243	1061	243
244	1065	239
245	1070	234
246	1074	230
247	1078	226
248	1083	221
249	1088	217
250	1092	213
251	1097	209
252	1102	204
253	1106	200
254	1110	196
255	1114	191
256	1119	187
257	1123	182
258	1128	178
259	1132	174
260	1136	169
261	1140	165
262	1145	161
263	1148	156
264	1152	152
265	1157	147
266	1162	143
267	1166	139
268	1170	134
269	1174	130
270	1178	126
271	1184	121
272	1188	117
273	1193	113
274	1197	108
275	1202	104
276	1206	100
277	1211	95
278	1215	91
279	1220	87
280	1225	82
281	1229	78
282	1234	74
283	1238	69
284	1243	65
285	1247	61
286	1252	56
287	1256	52
288	1261	48
289	1266	43
290	1271	39
291	1275	34
292	1280	30
293	1284	26
294	1288	21
295	1292	17
296	1297	13
297	1301	8
298	1305	4
299	1310	0
