Store,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Day,Weekday,Weekly_Sales
7,0,0.7946549104239586,-1.69201272817243,1.100283144691043,-0.8978600067321019,2010,9,17,4,836707.85
6,0,-2.1668220892878507,0.029180017664463827,0.5204113973606252,0.4365473780747293,2011,3,11,4,558963.83
41,0,0.03124231145028131,-0.4980714310602555,-1.1442960892231904,0.5351751711986864,2010,11,12,4,588592.61
14,0,0.462288487717379,1.1926191648504152,-0.8986403348332351,-0.10297330647361784,2011,8,26,4,605413.17
41,0,1.4496282197706942,0.8374869907093848,-1.0758292757162726,0.13746525946640636,2011,8,19,4,526641.23
3,0,1.1985912642843208,0.4169930667264473,-1.0758292757162726,-1.2555856780087238,2011,8,19,4,2049086.4185999997
12,0,-1.0742962462964014,-0.6462247307019122,-1.1074738745894537,-0.28210270371496654,2011,2,18,4,2003480.59
32,0,1.4653519167666005,-0.9229228050326529,-1.1552775675446996,0.9861974035385105,2010,6,18,4,308437.7497
38,0,0.5924156352697107,1.1599382899294612,1.2353857879870243,-0.5385349658372541,2012,4,13,4,1580732.73
27,0,-0.35046398803655754,0.9899977403405026,-1.0609322423262475,2.60742507321393,2011,11,18,4,1255081.22
5,0,0.8580918948557203,-1.6005062783937591,1.0554774554161817,-0.5470649371344612,2010,9,24,4,1275591.84
22,0,-0.5375217626430342,-1.2693400791947624,-0.9866104680810126,-1.4459106625776565,2010,10,8,4,1179851.68
43,0,-0.4632408492485784,0.9660317653984696,-1.0800195651196678,-0.582784191941516,2011,5,20,4,308437.7497
9,0,-0.9344095626776451,-0.15601160688760693,-1.1278906774812387,0.3970962608251467,2011,1,7,4,1714309.9
10,0,1.3813114673057199,0.7416230909412539,1.1959891415204733,-0.2266578902831205,2011,6,3,4,1343637.0
15,0,0.4427694155845293,0.3058780919952054,0.5761007468488072,-0.8855981729923669,2011,8,19,4,554630.42
28,0,-0.6155980511744329,0.5346442164418812,-0.8916565183138895,0.7239007861493925,2011,10,28,4,515119.64
13,0,-1.8084302370708045,-1.2519102792369203,0.2615461301279024,0.5293108159318569,2010,2,5,4,2049086.4185999997
32,0,0.9356259869389849,1.8179132383379946,-1.0808134964754483,0.3667082380788463,2011,5,6,4,308437.7497
15,0,-0.6372859090998217,0.3036993670004754,0.5937842127150091,-0.9421092328363637,2011,10,7,4,482926.93
3,1,-0.682288214295003,-1.3216294790682883,-1.1411679070343623,-0.4649639633988432,2010,11,26,4,2049086.4185999997
25,0,-2.106638283544897,-0.45449693116565054,-0.98671019960745,0.07988795321025832,2010,12,24,4,1573982.47
24,0,-1.97922211823324,-1.3368805540313993,0.834832425470445,0.10014663504112525,2010,2,19,4,676260.67
10,0,1.606865189729761,0.608720866262709,1.204010007860832,-0.23038975272564843,2011,8,12,4,1354188.43
29,1,-0.7305436981789926,-0.9054930050748109,1.0033726472627464,0.0873516780953151,2010,12,31,4,397631.02
42,0,1.2376294085500203,0.7416230909412539,0.9027244816775807,1.3764435903857337,2011,6,3,4,630972.15
34,0,-0.42528709787914826,-0.9621398549377979,-0.8865637409265803,0.4072256017405802,2010,10,22,4,827705.82
6,0,-1.403409490314173,-1.3303443790472083,0.4922880623438141,0.6066136808127959,2010,10,29,4,465493.15
33,0,0.3468006442646851,0.669725166115156,-1.0300287156768413,0.6855159153119611,2012,9,28,4,928629.31
1,0,-0.10159581834272385,0.591291066304867,1.2427891589379365,-0.5022825878241238,2012,3,2,4,1952555.66
8,0,0.08329317047121394,1.1926191648504152,1.2159764518946774,-0.8632069983371984,2011,5,6,4,545251.1
15,1,-1.5872140862318411,0.14247371739043668,0.6147334134348661,-0.9421092328363637,2011,11,25,4,712422.4
17,0,-0.021350744018785922,-0.8662759551696669,-1.0000433858448294,0.676985944014754,2010,5,21,4,1101621.36
40,0,-0.9653147602213238,0.6043634162732491,0.5322268134879832,-0.5678567421714034,2011,4,22,4,1304481.75
20,0,-0.8476581309760907,0.3298440669372374,1.2320788625493,-0.5022825878241238,2012,2,17,4,834663.52
7,0,0.964904595138259,-0.22355208172424484,1.3697513383593325,-1.3851346170850563,2012,7,13,4,890488.01
25,0,-1.304729736753655,-1.0318590547691657,-1.0061961130866888,0.2734116770156445,2010,4,16,4,905548.38
28,0,0.4807231669539595,1.2318362147555593,-0.9309388475690827,1.0485728186493368,2011,6,10,4,558431.44
22,0,-0.9013355793414275,0.46056756662105225,-0.8923335863161016,-1.908128482245065,2011,11,11,4,1436940.78
38,0,-0.1254524620606512,0.21872909220599557,1.0490191656984225,0.21103626190481733,2011,3,11,4,1283716.81
0,0,-0.3851645607171793,0.21872909220599557,1.0807805135774682,-0.13709319166244616,2011,3,11,4,1553191.63
9,0,0.8879126995031302,-0.9468887799746859,-1.1510805824479655,0.5351751711986864,2010,10,8,4,1772192.42
25,1,-2.2698394144334464,0.09454176750637173,-0.887722792124666,-0.21386293333730988,2011,12,30,4,972834.42
10,0,1.3254652331478443,0.3647036668529213,1.2151068020303153,-0.23038975272564843,2011,9,16,4,1270816.01
44,1,-1.2402083594256241,0.06621834257487778,0.44426933217839715,0.27927603228247394,2011,12,30,4,869403.63
2,0,-0.013217797296765284,-1.3913486788996552,1.0914292197516275,-0.33648127073466133,2010,3,19,4,375328.59
7,0,0.1261266898738563,0.5128569664945782,1.4087642923753763,-1.5328097451679539,2012,10,19,4,900309.75
19,0,-0.5429437271243813,-0.9948207298587508,0.8159894027351997,-0.07631714616984582,2010,4,23,4,1878862.42
11,0,-0.3396200590738635,1.1991553398346053,-1.0916986050930209,3.2103874192852553,2011,3,25,4,954107.32
8,0,1.432820129878518,-1.593970103409569,1.1050168042199815,-0.8301533595605208,2010,8,6,4,522815.45
14,0,-1.0352581020307021,1.7525514884960887,-0.8538028111575575,0.08042107641633442,2012,4,27,4,527402.62
9,0,1.3742629134799689,0.9159210905196737,-1.0785416515371673,0.13746525946640636,2011,7,15,4,1775068.4
19,0,0.10172784970779403,0.39738454177387533,0.9865504787963885,-0.4889545076722381,2011,10,14,4,2010107.68
9,0,1.586261724700642,1.4279214642812819,-1.036383906963543,-0.3290175458496055,2012,6,22,4,1755334.18
36,0,0.07028045571598068,-1.5068211036203591,0.9799081604247452,0.295802851670813,2010,3,12,4,513015.35
7,0,0.4368052546550475,0.23615889216383754,1.2250498253245814,-0.8392164540638035,2011,9,23,4,806444.29
32,0,-0.38136918558023625,-0.101543482019351,-1.1251168232525104,0.5074527644827637,2011,1,14,4,308437.7497
8,0,1.3899866104758751,-1.5133572786045493,1.1074847224369768,-0.8301533595605208,2010,8,20,4,499325.38
37,0,0.9394213620759275,1.8179132383379946,-1.0279026945539829,1.9340904639406469,2012,4,27,4,419964.77
36,0,1.2853426959858756,-1.5721828534622662,0.9816737143863256,0.2478217631240233,2010,6,18,4,505761.62
26,0,-0.8004870399883707,-0.6396885557177212,-0.8828529749728902,0.011648182832602619,2010,11,12,4,1828010.25
13,0,-0.4789645462444851,1.4932832141231878,0.4874058778525776,0.3027334533497937,2012,4,13,4,1912909.69
40,0,0.2996295532769647,-1.3652039789628923,0.4755957293427875,-0.35407433653515114,2010,8,20,4,1353838.39
28,0,0.17926194179105814,1.1207212400243174,-0.9273512544211663,1.0485728186493368,2011,6,17,4,536914.17
23,0,-0.7901853074738109,-0.868454680164397,-1.0101756596714664,0.17425076068561232,2010,3,19,4,1222511.29
10,0,1.2251588902429225,-0.027466832198522112,1.365272648799889,-0.711800007811773,2012,6,22,4,1355680.3
18,0,0.052930169375669814,-0.842309980227634,-0.9946383070902598,0.09908038862897496,2010,6,11,4,1410683.94
4,0,-0.44155299132318954,-1.2802337041684133,1.0384573942720847,-0.656355194379927,2010,11,19,4,308437.7497
14,0,0.7030237106891921,1.4409938142496619,-0.9026953737722458,-0.10297330647361784,2011,8,5,4,607961.21
44,0,-0.05767790604381187,0.46056756662105225,0.4118099373050306,0.27927603228247394,2011,10,21,4,771686.4
24,0,-0.8595864528350543,0.3734185668318423,1.0012444103354883,-0.4889545076722381,2011,11,11,4,719235.07
23,0,-0.6183090334151067,1.7525514884960887,-0.8538028111575575,0.5245127070771778,2012,4,27,4,1194334.65
40,0,0.02365156117639528,0.8200571907515428,0.5404496178737461,-0.5678567421714034,2011,6,10,4,1311690.11
3,0,1.2023866394212643,0.5847548913206762,-1.0781113103055167,-1.2555856780087238,2011,7,22,4,2036231.39
2,0,1.316247893529554,0.10543539248002272,1.3690053745948823,-0.8877306658166689,2012,7,27,4,389427.9
1,0,1.3937819856128186,0.10543539248002272,1.2705339141171434,-0.7645792052132413,2012,7,27,4,1757923.88
17,0,0.4525289516509546,0.7089422160203009,-0.89340861990335,0.4749322489121617,2011,9,30,4,847348.08
22,0,-1.1968326435748466,-1.1495102044845986,-1.0091887449660415,-1.123371122902014,2010,3,26,4,1310701.8
42,0,-0.4643252421448476,-0.14947543190341595,1.0166679005550927,0.881705255147724,2012,1,27,4,587685.38
