iter	RMSE
0	518618.4403
1	506692.9978
2	495187.6194
3	485900.7126
4	474907.0017
5	464445.0966
6	455595.3432
7	446819.4365
8	438263.6861
9	428330.6992
10	419648.6967
11	413059.8309
12	406684.3632
13	400859.9607
14	396569.7312
15	389582.3584
16	384795.5268
17	379060.8061
18	374240.6607
19	369534.5877
20	366180.4235
21	361721.6493
22	356530.9177
23	352526.7094
24	347396.5674
25	342930.2334
26	339492.0933
27	333984.6364
28	330292.6501
29	327215.3342
30	324025.2116
31	320958.6717
32	317502.7241
33	314775.0716
34	311787.8541
35	309918.8962
36	306684.524
37	305217.8024
38	304207.3611
39	302390.0969
40	298635.7002
41	296033.0228
42	293053.7156
43	291058.9557
44	289503.2779
45	287543.8621
46	285048.8331
47	281319.7667
48	277866.1099
49	277126.6066
50	274022.5694
51	271016.6335
52	268042.6288
53	265847.8188
54	264308.4221
55	262092.1943
56	259825.9944
57	258490.4217
58	257658.4802
59	255972.2048
60	255136.7272
61	253463.6151
62	250679.1633
63	249226.8709
64	246610.9491
65	243931.8163
66	242224.3052
67	239747.4753
68	237784.9959
69	235639.5873
70	233568.4536
71	231454.2497
72	229588.5226
73	228577.346
74	227226.8743
75	225375.0861
76	224989.749
77	224085.9579
78	221746.9265
79	219685.0727
80	218908.4684
81	217583.0216
82	216806.9571
83	215148.8673
84	214444.4904
85	212185.2576
86	210937.0613
87	210216.9246
88	208509.9312
89	205939.5956
90	204376.5021
91	203930.1233
92	202768.5261
93	201515.285
94	201077.1924
95	199637.3519
96	198264.294
97	196069.7785
98	195222.6657
99	194181.8828
100	192998.4676
101	192072.2089
102	190409.2212
103	189824.4401
104	189142.7512
105	188347.6431
106	187518.2149
107	186591.1019
108	186227.4969
109	185495.4965
110	184721.7491
111	184278.5803
112	182344.4664
113	181169.8901
114	180411.2272
115	180187.5871
116	179325.821
117	177445.0155
118	176808.8726
119	175676.6723
120	174624.7128
121	173949.8094
122	172569.0936
123	172085.9676
124	170769.1324
125	170112.6577
126	169715.4408
127	169071.5201
128	167953.3913
129	167371.2246
130	166277.8122
131	165658.1865
132	164111.6632
133	162883.8064
134	162354.6966
135	160657.6217
136	158878.9759
137	157641.7288
138	156929.0813
139	155764.1682
140	154459.452
141	154010.1577
